id;name;img;description
12;Coffee granita;https://images.immediate.co.uk/production/volatile/sites/30/2020/08/coffee-granita-7814b72.jpg?quality=90&resize=440,400;Wow your party guests with this easy, light dessert and after-dinner coffee all rolled into one. It's a lovely end to any meal and a cooling treat in summer
13;Coffee ice cream terrine;https://images.immediate.co.uk/production/volatile/sites/30/2020/08/coffee_terrine-3bb1ce9.jpg?quality=90&resize=440,400;Try this twist on a favourite childhood ice-cream dessert with coffee and chocolate layers. Made with just five ingredients, it's a great make-ahead pud 
14;Espresso old fashioned;https://images.immediate.co.uk/production/volatile/sites/30/2020/08/espresso-old-fashioned-33dcc82.jpg?quality=90&resize=440,400;Try this twist on an old fashioned cocktail, with a double shot of espresso accompanying the classic flavours of bourbon and Angostura bitters
15;Cortado;https://images.immediate.co.uk/production/volatile/sites/30/2022/05/Cortada-2e01077.png?quality=90&resize=556,505;Made up of equal parts espresso and steamed milk, this coffee is traditionally served in a Gibraltar glass (and sometimes called Gibraltar coffee)
16;Espresso mud cakes, chocolate syrup & ice cream;https://images.immediate.co.uk/production/volatile/sites/30/2020/08/espresso-mud-cakes-chocolate-syrup-ice-cream-b950d16.jpg?quality=90&resize=440,400;To finish your meal try this take on coffee and dessert, and if you have any coffee liqueur in the back of the drinks cabinet, put a splash in the syrup
17;Espresso martini;https://images.immediate.co.uk/production/volatile/sites/30/2020/08/espresso-martini-f099531.jpg?quality=90&resize=440,400;Learn how to make this classic coffee cocktail. Our easy recipe uses freshly brewed espresso, a dash of coffee liqueur and a simple sugar syrup.
18;Coffee & walnut cake;https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-1273554_8-f3ebd85.jpg?quality=90&resize=440,400;The classic combo is made extra sumptuous with mascarpone frosting - a traditional sponge for cake sales and parties
19;How to make cold brew coffee;https://images.immediate.co.uk/production/volatile/sites/30/2020/08/cold-brew-e08dbfa.jpg?quality=90&resize=440,400;High in caffeine, this iced cold brew coffee will keep you cool on hot days while giving you the boost you need. Enjoy an ultra-refreshing kick-start to your day
20;Iced coffee;https://images.immediate.co.uk/production/volatile/sites/30/2016/06/IcedCoffeenew-8415cf7.jpg?quality=90&resize=556,505;Discover how to make iced coffee at home. With this simple recipe, you can get a cooling caffeine fix with no fuss. Try it with a shot of maple syrup
21;Pumpkin spice latte;https://images.immediate.co.uk/production/volatile/sites/30/2020/10/Pumpkin-Spice-Latte-a05c0ca.jpg?quality=90&resize=556,505;Get cosy with a pumpkin spice latte, perfect for cold autumn and winter nights. With ginger, cinnamon, nutmeg and pumpkin flavours, it's a real treat
22;Coffee semifreddo;https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-441616_10-89e3668.jpg?quality=90&resize=440,400;This elegant dessert is easy to slice straight from the freezer
23;Coffee cocktails;https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-2050_11-5cd5911.jpg?quality=90&resize=440,400;The perfect finish for a successful dinner party
